food_id,food_name,caloric_value,protein,carbohydrates,fat
1677,menhaden fish oil,1966.0,0.0,0.0,218.0
1678,cod liver fish oil,123.0,0.0,0.0,13.6
1679,sardine oil,123.0,0.0,0.0,13.6
1680,cupu assu oil,120.0,0.0,0.0,13.6
1681,lard,115.0,0.0,0.0,12.8
1682,sesame butter,94.0,2.9,3.8,8.1
1683,margarine spread,59.0,0.08,0.1,6.7
1684,lard vegetable oil,115.0,0.0,0.0,12.8
1685,shortening,113.0,0.0,0.0,12.8
1686,vegetable oil spread,75.0,0.01,0.1,8.4
1687,cottonseed oil,120.0,0.0,0.0,13.6
1688,vegetable oil spread fat free,6.0,0.2,0.4,0.5
1689,soy margarine,88.0,0.0,0.0,9.9
1690,margarine with salt,100.0,0.03,0.02,11.3
1691,margarine,102.0,0.04,0.02,11.5
1692,salmon fish oil,123.0,0.0,0.0,13.6
1693,nutmeg butter oil,1927.0,0.0,0.0,218.0
1694,almond butter,98.0,3.4,3.0,8.9
1695,sour cream shoprite,60.0,0.0,1.0,5.0
1696,ucuhuba butter oil,120.0,0.0,0.0,13.6
1697,chicken fat,115.0,0.0,0.0,12.8
1698,herring fish oil,123.0,0.0,0.0,13.6
1699,bacon grease,39.0,0.0,0.0,4.3
1700,turkey fat,45.0,0.0,0.0,5.0
1701,beef tallow,115.0,0.0,0.0,12.8
1702,goose fat,45.0,0.0,0.0,5.0
1703,duck fat,44.0,0.0,0.0,5.0
1704,mutton tallow,45.0,0.0,0.0,5.0
1705,grapeseed oil,120.0,0.0,0.0,13.6
1706,sheanut oil,1927.0,0.0,0.0,218.0
1707,almond oil,120.0,0.0,0.0,13.6
1708,sunflower oil,120.0,0.0,0.0,13.6
1709,cashew butter,94.0,2.8,4.4,7.9
1710,canola oil,124.0,0.0,0.0,14.0
1711,babassu oil,1927.0,0.0,0.0,218.0
1712,teaseed oil,120.0,0.0,0.0,13.6
1713,avocado oil,124.0,0.0,0.0,14.0
1714,vegetable palm kernel oil,117.0,0.0,0.0,13.6
1715,coconut oil,117.0,0.0,0.0,13.6
1716,safflower oil,120.0,0.0,0.0,13.6
1717,vegetable oil,120.0,0.0,0.0,13.6
1718,apricot kernel oil,40.0,0.0,0.0,4.5
1719,peanut oil,119.0,0.0,0.0,13.5
1720,poppyseed oil,120.0,0.0,0.0,13.6
1721,flaxseed oil,120.0,0.09,0.0,13.6
1722,tomatoseed oil,1927.0,0.0,0.0,218.0
1723,wheat germ oil,120.0,0.0,0.0,13.6
1724,sesame oil,40.0,0.0,0.0,4.5
1725,corn granola oil,124.0,0.0,0.0,14.0
1726,cocoa butter oil,120.0,0.0,0.0,13.6
1727,olive oil,119.0,0.0,0.0,13.5
1728,palm kernel oil,40.0,0.0,0.0,4.5
1729,mustard oil,124.0,0.0,0.0,14.0
1730,rice bran oil,120.0,0.0,0.0,13.6
1731,vegetable macaroni dry,308.0,11.0,62.9,0.9
1732,chow mein noodles,257.0,5.9,37.5,9.9
